ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;TOTAL_VOTOS;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;CODIGO_SIT_CAND_TOT;SEXO;COD_GRAU_INSTRUCAO
0;2008;1;1120;15;280;1253;592;3009;518;930;2488;76;51;0.0;4.0;2;8
1;2008;1;1120;11;3507;1253;592;3009;518;930;2488;76;51;0.0;1.0;2;5
51;2008;1;1570;45;1271;986;209;1183;166;252;1764;37;46;0.0;4.0;2;8
52;2008;1;1570;13;1798;986;209;1183;166;252;1764;37;46;0.0;1.0;4;8
91;2008;1;1058;15;3520;2056;704;4931;711;1449;4333;159;129;0.0;4.0;2;8
92;2008;1;1058;13;7345;2056;704;4931;711;1449;4333;159;129;0.0;1.0;4;8
93;2008;1;1058;50;365;2056;704;4931;711;1449;4333;159;129;0.0;4.0;2;3
149;2008;1;1007;13;2546;1149;343;2377;429;743;1588;62;63;0.0;4.0;2;6
150;2008;1;1007;15;2894;1149;343;2377;429;743;1588;62;63;0.0;1.0;2;3
207;2008;1;1015;13;2947;1264;342;2196;401;526;1511;63;62;0.0;1.0;2;8
208;2008;1;1015;15;2000;1264;342;2196;401;526;1511;63;62;0.0;4.0;2;5
267;2008;1;1074;23;1074;7447;2337;14614;2746;8187;9098;535;370;0.0;4.0;2;6
268;2008;1;1074;15;15412;7447;2337;14614;2746;8187;9098;535;370;0.0;1.0;2;4
269;2008;1;1074;14;2759;7447;2337;14614;2746;8187;9098;535;370;0.0;4.0;4;8
270;2008;1;1074;11;12957;7447;2337;14614;2746;8187;9098;535;370;0.0;4.0;2;6
376;2008;1;1112;36;1971;1145;519;3041;562;917;2622;107;107;0.0;4.0;2;8
377;2008;1;1112;13;1881;1145;519;3041;562;917;2622;107;107;0.0;4.0;2;8
378;2008;1;1112;45;767;1145;519;3041;562;917;2622;107;107;0.0;4.0;2;8
379;2008;1;1112;40;2424;1145;519;3041;562;917;2622;107;107;0.0;1.0;2;4
445;2008;1;1139;45;5788;5460;420;4428;407;1351;3950;77;59;0.0;1.0;2;6
446;2008;1;1139;45;5655;5460;420;4428;407;1351;3950;77;59;0.0;4.0;2;6
447;2008;1;1139;13;4820;5460;420;4428;407;1351;3950;77;59;0.0;4.0;4;4
448;2008;1;1139;13;5746;5460;420;4428;407;1351;3950;77;59;0.0;1.0;2;3
491;2008;1;1104;15;1093;1510;52;1069;112;79;801;17;21;0.0;4.0;2;8
492;2008;1;1104;13;1674;1510;52;1069;112;79;801;17;21;0.0;1.0;2;6
523;2008;1;1554;25;973;1213;170;1041;149;322;1768;39;19;0.0;4.0;2;6
524;2008;1;1554;50;175;1213;170;1041;149;322;1768;39;19;0.0;4.0;2;8
525;2008;1;1554;11;1349;1213;170;1041;149;322;1768;39;19;0.0;1.0;2;5
526;2008;1;1554;13;1160;1213;170;1041;149;322;1768;39;19;0.0;4.0;2;4
569;2008;1;1040;13;2478;2659;178;2534;215;345;981;21;35;0.0;4.0;2;5
570;2008;1;1040;15;3009;2659;178;2534;215;345;981;21;35;0.0;1.0;2;6
620;2008;1;1090;15;4873;1551;408;3269;460;1316;2504;46;44;0.0;1.0;2;8
621;2008;1;1090;11;2492;1551;408;3269;460;1316;2504;46;44;0.0;4.0;2;7
622;2008;1;1090;45;269;1551;408;3269;460;1316;2504;46;44;0.0;4.0;2;3
680;2008;1;1511;33;4289;2305;552;3370;766;1401;3538;113;139;0.0;4.0;2;8
681;2008;1;1511;11;629;2305;552;3370;766;1401;3538;113;139;0.0;4.0;2;6
682;2008;1;1511;13;4361;2305;552;3370;766;1401;3538;113;139;0.0;1.0;2;6
741;2008;1;1023;11;1497;1567;608;3019;477;987;2916;74;70;0.0;4.0;2;6
742;2008;1;1023;50;2288;1567;608;3019;477;987;2916;74;70;0.0;4.0;2;8
743;2008;1;1023;17;595;1567;608;3019;477;987;2916;74;70;0.0;4.0;2;8
744;2008;1;1023;36;114;1567;608;3019;477;987;2916;74;70;0.0;4.0;2;3
745;2008;1;1023;15;937;1567;608;3019;477;987;2916;74;70;0.0;4.0;2;5
746;2008;1;1023;13;2408;1567;608;3019;477;987;2916;74;70;0.0;1.0;2;6
826;2008;1;1066;13;1869;1365;180;1511;136;262;1013;14;15;0.0;1.0;2;7
827;2008;1;1066;15;1785;1365;180;1511;136;262;1013;14;15;0.0;4.0;2;6
828;2008;1;1066;50;215;1365;180;1511;136;262;1013;14;15;0.0;4.0;2;7
879;2008;1;1392;13;80022;15652;15355;63597;23152;41965;30456;6287;5142;0.0;1.0;2;8
880;2008;1;1392;50;1946;15652;15355;63597;23152;41965;30456;6287;5142;0.0;4.0;2;7
881;2008;1;1392;33;40304;15652;15355;63597;23152;41965;30456;6287;5142;0.0;4.0;2;6
882;2008;1;1392;45;35177;15652;15355;63597;23152;41965;30456;6287;5142;0.0;4.0;2;8
1401;2008;1;1082;13;2280;2101;362;2551;339;606;1919;26;45;0.0;1.0;2;6
1402;2008;1;1082;11;2110;2101;362;2551;339;606;1919;26;45;0.0;4.0;2;7
1403;2008;1;1082;15;1978;2101;362;2551;339;606;1919;26;45;0.0;4.0;2;3
1457;2008;1;1031;23;505;548;48;257;108;88;755;16;8;0.0;4.0;2;4
1458;2008;1;1031;22;251;548;48;257;108;88;755;16;8;0.0;4.0;2;7
1459;2008;1;1031;13;671;548;48;257;108;88;755;16;8;0.0;1.0;2;6
1485;2008;1;1457;22;9555;4830;791;6156;1010;2151;7398;153;115;0.0;1.0;2;8
1486;2008;1;1457;45;8229;4830;791;6156;1010;2151;7398;153;115;0.0;4.0;4;4
1533;2008;1;1538;22;4607;2437;812;5681;1114;1903;3131;184;202;0.0;4.0;2;5
1534;2008;1;1538;45;7031;2437;812;5681;1114;1903;3131;184;202;0.0;1.0;2;6
1609;2008;1;1473;65;7038;6935;441;6050;553;1733;4350;110;93;0.0;4.0;2;5
1610;2008;1;1473;11;7351;6935;441;6050;553;1733;4350;110;93;0.0;1.0;2;4
1652;2008;1;1490;13;2977;2901;487;1893;469;860;3621;111;58;0.0;1.0;2;8
1653;2008;1;1490;40;1667;2901;487;1893;469;860;3621;111;58;0.0;4.0;2;8
1654;2008;1;1490;45;2405;2901;487;1893;469;860;3621;111;58;0.0;4.0;2;6
1655;2008;1;1490;23;1030;2901;487;1893;469;860;3621;111;58;0.0;4.0;2;7
0;2008;2;27030;25;20;4149;564;3628;601;1344;3026;81;51;0.0;4.0;2;5
1;2008;2;27030;13;5516;4149;564;3628;601;1344;3026;81;51;91861.0;1.0;4;7
35;2008;2;27057;15;81144;15186;5922;40623;6905;17327;30390;1332;1341;383898.5;1.0;2;8
36;2008;2;27057;10;4404;15186;5922;40623;6905;17327;30390;1332;1341;6205.0;4.0;2;3
37;2008;2;27057;43;3556;15186;5922;40623;6905;17327;30390;1332;1341;7101.5;4.0;2;4
226;2008;2;27073;40;204;6990;840;7614;1161;2927;9015;187;131;6858.82;4.0;2;7
227;2008;2;27073;14;10300;6990;840;7614;1161;2927;9015;187;131;208719.7;1.0;2;7
228;2008;2;27073;13;1592;6990;840;7614;1161;2927;9015;187;131;5755.0;4.0;2;8
229;2008;2;27073;12;9422;6990;840;7614;1161;2927;9015;187;131;102250.0;4.0;2;4
284;2008;2;27090;14;3523;1514;466;3322;600;899;2665;176;96;46334.0;1.0;4;7
285;2008;2;27090;11;2630;1514;466;3322;600;899;2665;176;96;45775.62;4.0;2;3
286;2008;2;27090;45;1578;1514;466;3322;600;899;2665;176;96;41559.84;4.0;2;8
350;2008;2;27111;25;1044;892;219;1911;412;495;677;266;133;44915.07;4.0;4;8
351;2008;2;27111;14;1575;892;219;1911;412;495;677;266;133;114262.86;1.0;2;6
352;2008;2;27111;31;1450;892;219;1911;412;495;677;266;133;85925.86;4.0;4;8
409;2008;2;27138;11;719;2339;440;2958;443;945;3191;82;48;31953.0;4.0;2;4
410;2008;2;27138;15;4343;2339;440;2958;443;945;3191;82;48;45442.25;1.0;2;8
459;2008;2;27170;11;2203;841;152;1363;92;273;1779;12;16;91900.0;1.0;2;7
460;2008;2;27170;40;3;841;152;1363;92;273;1779;12;16;0.0;4.0;2;6
461;2008;2;27170;23;94;841;152;1363;92;273;1779;12;16;7000.0;4.0;2;7
462;2008;2;27170;45;1609;841;152;1363;92;273;1779;12;16;66761.49;4.0;2;8
463;2008;2;27170;17;6;841;152;1363;92;273;1779;12;16;1600.0;4.0;2;6
496;2008;2;27154;50;177;996;140;1575;176;460;1378;35;29;0.0;4.0;2;7
497;2008;2;27154;22;58;996;140;1575;176;460;1378;35;29;0.0;4.0;2;4
498;2008;2;27154;20;1339;996;140;1575;176;460;1378;35;29;27801.35;4.0;4;8
499;2008;2;27154;33;2119;996;140;1575;176;460;1378;35;29;28520.0;1.0;4;6
542;2008;2;27197;33;6740;4513;495;5406;748;2586;5705;156;54;35309.0;4.0;2;4
543;2008;2;27197;15;8132;4513;495;5406;748;2586;5705;156;54;585885.66;1.0;2;8
587;2008;2;27219;14;2520;2286;208;2819;172;423;2235;34;22;35590.0;4.0;2;8
588;2008;2;27219;15;3131;2286;208;2819;172;423;2235;34;22;21919.76;1.0;4;7
640;2008;2;27235;45;2072;1358;138;1905;169;435;1990;33;38;40920.21;4.0;2;8
641;2008;2;27235;15;3055;1358;138;1905;169;435;1990;33;38;69134.58;1.0;2;6
668;2008;2;27251;22;1666;3601;532;3897;540;1317;3996;116;63;7700.0;4.0;2;6
669;2008;2;27251;14;5679;3601;532;3897;540;1317;3996;116;63;84448.12;1.0;2;7
670;2008;2;27251;13;2836;3601;532;3897;540;1317;3996;116;63;13677.16;4.0;2;8
720;2008;2;27081;45;892;970;74;1460;171;447;775;20;34;60349.85;4.0;2;3
721;2008;2;27081;70;1373;970;74;1460;171;447;775;20;34;16505.0;1.0;2;5
722;2008;2;27081;22;1235;970;74;1460;171;447;775;20;34;15394.0;4.0;2;4
770;2008;2;27278;11;7508;5828;487;7623;602;1786;5447;68;52;92650.0;4.0;2;3
771;2008;2;27278;14;8167;5828;487;7623;602;1786;5447;68;52;162207.6;1.0;2;8
830;2008;2;27294;14;3459;1603;124;2529;127;286;2430;24;20;57780.0;1.0;2;4
831;2008;2;27294;45;2547;1603;124;2529;127;286;2430;24;20;48814.81;4.0;2;8
859;2008;2;27316;33;2646;3513;296;3396;295;702;4656;35;25;19370.0;4.0;4;8
860;2008;2;27316;25;194;3513;296;3396;295;702;4656;35;25;6105.86;4.0;2;3
861;2008;2;27316;14;5497;3513;296;3396;295;702;4656;35;25;65766.55;1.0;2;8
913;2008;2;27332;43;164;3153;628;3826;484;1251;3357;119;83;1983.5;4.0;2;8
914;2008;2;27332;11;5332;3153;628;3826;484;1251;3357;119;83;64317.41;1.0;2;8
915;2008;2;27332;45;4033;3153;628;3826;484;1251;3357;119;83;52900.0;4.0;2;6
975;2008;2;27359;15;2669;854;181;1505;187;416;2185;12;10;53675.85;1.0;2;6
976;2008;2;27359;10;37;854;181;1505;187;416;2185;12;10;2159.1;4.0;2;8
977;2008;2;27359;70;1364;854;181;1505;187;416;2185;12;10;8922.34;4.0;2;2
1003;2008;2;27375;11;334;1503;125;2127;227;589;1173;50;22;13040.17;4.0;2;7
1004;2008;2;27375;33;2589;1503;125;2127;227;589;1173;50;22;82010.35;1.0;4;8
1005;2008;2;27375;40;1816;1503;125;2127;227;589;1173;50;22;52616.75;4.0;2;8
1040;2008;2;27391;20;1573;2099;203;2815;129;529;2547;18;15;28373.3;4.0;2;8
1041;2008;2;27391;11;4607;2099;203;2815;129;529;2547;18;15;33556.84;1.0;2;5
1068;2008;2;27413;12;4482;4409;348;3376;445;1126;4359;72;69;52100.0;1.0;2;6
1069;2008;2;27413;12;4482;4409;348;3376;445;1126;4359;72;69;41710.6;10.0;4;7
1070;2008;2;27413;45;1610;4409;348;3376;445;1126;4359;72;69;29545.0;4.0;4;7
1071;2008;2;27413;40;4454;4409;348;3376;445;1126;4359;72;69;116200.0;4.0;2;6
1111;2008;2;27430;33;1195;502;412;1544;285;415;929;50;32;8200.0;4.0;2;6
1112;2008;2;27430;45;798;502;412;1544;285;415;929;50;32;63611.54;4.0;4;8
1113;2008;2;27430;22;196;502;412;1544;285;415;929;50;32;8417.85;4.0;2;4
1114;2008;2;27430;14;1258;502;412;1544;285;415;929;50;32;32099.8;1.0;2;8
1169;2008;2;27456;13;7070;6567;1225;11692;1543;3910;10827;239;192;1000.0;4.0;2;8
1170;2008;2;27456;15;19357;6567;1225;11692;1543;3910;10827;239;192;194997.11;1.0;2;8
1171;2008;2;27456;11;110;6567;1225;11692;1543;3910;10827;239;192;0.0;4.0;4;4
1231;2008;2;28894;70;4092;3726;508;5022;214;1134;4564;29;30;64232.7;4.0;2;8
1232;2008;2;28894;33;4310;3726;508;5022;214;1134;4564;29;30;89100.0;1.0;2;6
1233;2008;2;28894;11;3494;3726;508;5022;214;1134;4564;29;30;40796.18;4.0;2;4
1290;2008;2;27472;40;11418;4934;1176;11111;1715;3470;11404;214;152;81813.68;4.0;2;6
1291;2008;2;27472;23;806;4934;1176;11111;1715;3470;11404;214;152;22900.0;4.0;2;8
1292;2008;2;27472;10;11850;4934;1176;11111;1715;3470;11404;214;152;315265.56;1.0;2;3
1293;2008;2;27472;21;41;4934;1176;11111;1715;3470;11404;214;152;0.0;4.0;2;6
1294;2008;2;27472;20;37;4934;1176;11111;1715;3470;11404;214;152;30.0;4.0;2;6
1357;2008;2;27499;11;2863;1553;130;2800;174;405;3377;22;19;80755.4;4.0;2;4
1358;2008;2;27499;45;3605;1553;130;2800;174;405;3377;22;19;36137.35;1.0;4;6
1383;2008;2;27049;11;4574;2759;373;3810;273;878;3888;45;32;99566.97;1.0;4;7
1384;2008;2;27049;15;3607;2759;373;3810;273;878;3888;45;32;21074.0;4.0;2;5
1385;2008;2;27049;17;20;2759;373;3810;273;878;3888;45;32;0.0;4.0;2;8
1416;2008;2;27510;20;5035;3260;335;4962;318;1062;4631;36;37;33160.0;4.0;2;5
1417;2008;2;27510;14;6248;3260;335;4962;318;1062;4631;36;37;63890.33;1.0;2;6
1450;2008;2;27537;45;1151;544;78;1135;110;301;953;20;17;6612.37;4.0;2;3
1451;2008;2;27537;15;1343;544;78;1135;110;301;953;20;17;69742.13;1.0;2;7
1452;2008;2;27537;40;47;544;78;1135;110;301;953;20;17;3403.0;4.0;2;4
1477;2008;2;27553;20;2353;1686;232;2271;194;441;2466;45;19;35930.0;4.0;2;3
1478;2008;2;27553;11;3334;1686;232;2271;194;441;2466;45;19;47578.89;1.0;4;8
1529;2008;2;27570;14;10706;5097;390;7851;412;1333;7440;51;45;116377.3;1.0;2;8
1530;2008;2;27570;25;5662;5097;390;7851;412;1333;7440;51;45;0.0;4.0;2;8
1531;2008;2;27570;25;5662;5097;390;7851;412;1333;7440;51;45;7880.0;10.0;2;6
1572;2008;2;27596;11;4605;3156;191;3376;248;679;2575;52;63;238809.41;1.0;4;8
1573;2008;2;27596;22;18;3156;191;3376;248;679;2575;52;63;0.0;4.0;4;4
1574;2008;2;27596;45;2918;3156;191;3376;248;679;2575;52;63;59518.26;4.0;2;4
1619;2008;2;27618;15;6467;4930;736;5006;441;1429;7692;61;47;45950.0;4.0;2;8
1620;2008;2;27618;14;7365;4930;736;5006;441;1429;7692;61;47;30140.81;1.0;2;8
1660;2008;2;27634;28;5777;3088;407;5586;305;1211;5866;63;47;26200.0;4.0;2;6
1661;2008;2;27634;13;67;3088;407;5586;305;1211;5866;63;47;1765.15;4.0;2;8
1662;2008;2;27634;40;6665;3088;407;5586;305;1211;5866;63;47;167689.23;1.0;2;8
1707;2008;2;27650;33;4532;3627;264;3002;171;532;4517;28;20;60873.15;1.0;2;6
1708;2008;2;27650;10;6;3627;264;3002;171;532;4517;28;20;9935.0;4.0;2;8
1709;2008;2;27650;11;156;3627;264;3002;171;532;4517;28;20;0.0;4.0;2;3
1710;2008;2;27650;13;3937;3627;264;3002;171;532;4517;28;20;14113.85;4.0;2;4
1764;2008;2;27677;20;1880;1021;208;1434;168;359;1291;31;18;27637.15;4.0;2;8
1765;2008;2;27677;11;1953;1021;208;1434;168;359;1291;31;18;39990.0;1.0;2;4
1788;2008;2;27693;11;1762;1675;80;2019;158;366;1076;22;22;53650.0;1.0;2;7
1789;2008;2;27693;15;834;1675;80;2019;158;366;1076;22;22;20241.8;4.0;2;5
1790;2008;2;27693;13;1538;1675;80;2019;158;366;1076;22;22;5620.0;4.0;2;3
1838;2008;2;27715;15;2158;1376;148;1999;251;616;1254;89;67;139000.0;1.0;2;8
1839;2008;2;27715;13;1194;1376;148;1999;251;616;1254;89;67;12030.0;4.0;4;8
1840;2008;2;27715;20;1288;1376;148;1999;251;616;1254;89;67;32836.54;4.0;2;4
1883;2008;2;27731;25;1513;1217;210;1701;75;229;1231;17;9;6959.0;4.0;2;8
1884;2008;2;27731;45;2236;1217;210;1701;75;229;1231;17;9;23817.42;1.0;2;3
1906;2008;2;27065;14;3464;2123;239;2928;353;594;1376;108;58;132332.49;1.0;2;8
1907;2008;2;27065;15;2446;2123;239;2928;353;594;1376;108;58;151350.5;4.0;2;8
1954;2008;2;27758;11;3932;4530;361;3599;310;672;4585;42;48;0.0;4.0;2;4
1955;2008;2;27758;11;5010;4530;361;3599;310;672;4585;42;48;90385.99;1.0;4;7
1956;2008;2;27758;17;1081;4530;361;3599;310;672;4585;42;48;0.0;4.0;2;6
1957;2008;2;27758;23;48;4530;361;3599;310;672;4585;42;48;0.0;4.0;2;3
1958;2008;2;27758;45;4583;4530;361;3599;310;672;4585;42;48;0.0;1.0;2;3
1959;2008;2;27758;45;4940;4530;361;3599;310;672;4585;42;48;93500.0;4.0;2;3
2014;2008;2;27774;12;1151;1123;63;1414;139;339;694;22;26;44577.2;1.0;2;6
2015;2008;2;27774;20;699;1123;63;1414;139;339;694;22;26;21400.0;4.0;2;6
2016;2008;2;27774;15;1069;1123;63;1414;139;339;694;22;26;43095.41;4.0;2;6
2071;2008;2;27790;25;7273;3368;523;5280;578;1684;6515;90;67;304384.18;1.0;2;4
2072;2008;2;27790;20;6154;3368;523;5280;578;1684;6515;90;67;146010.0;4.0;2;8
2073;2008;2;27790;13;74;3368;523;5280;578;1684;6515;90;67;1044.2;4.0;2;6
2113;2008;2;27812;40;2740;2856;318;4232;262;1078;3827;28;45;11429.62;4.0;2;5
2114;2008;2;27812;20;6543;2856;318;4232;262;1078;3827;28;45;44368.55;1.0;2;7
2156;2008;2;27839;11;6600;4432;190;4559;233;946;5398;33;28;67429.4;1.0;2;8
2157;2008;2;27839;20;5194;4432;190;4559;233;946;5398;33;28;83400.0;4.0;2;8
2187;2008;2;27855;11;319831;29599;35288;163365;75320;91230;70781;23033;15699;1477283.71;1.0;2;6
2188;2008;2;27855;13;41948;29599;35288;163365;75320;91230;70781;23033;15699;114055.15;4.0;2;8
2189;2008;2;27855;16;997;29599;35288;163365;75320;91230;70781;23033;15699;0.0;4.0;2;6
2190;2008;2;27855;50;5906;29599;35288;163365;75320;91230;70781;23033;15699;15785.0;4.0;2;8
2191;2008;2;27855;45;23813;29599;35288;163365;75320;91230;70781;23033;15699;2706000.0;4.0;4;8
3304;2008;2;27871;11;253;3287;637;4663;363;833;4402;98;77;0.0;4.0;2;6
3305;2008;2;27871;33;6791;3287;637;4663;363;833;4402;98;77;58634.0;1.0;2;8
3306;2008;2;27871;17;3975;3287;637;4663;363;833;4402;98;77;103650.95;4.0;4;6
3343;2008;2;27979;15;1230;561;93;1303;127;312;771;42;16;82747.3;4.0;4;8
3344;2008;2;27979;11;1429;561;93;1303;127;312;771;42;16;53415.98;1.0;4;8
3366;2008;2;27898;14;7974;3968;397;5793;762;1604;3700;172;83;109072.55;1.0;2;8
3367;2008;2;27898;44;273;3968;397;5793;762;1604;3700;172;83;600.0;4.0;2;5
3368;2008;2;27898;45;4812;3968;397;5793;762;1604;3700;172;83;54600.7;4.0;2;8
3429;2008;2;27910;14;2645;1669;264;2413;204;514;3027;32;17;31607.0;4.0;2;7
3430;2008;2;27910;20;2753;1669;264;2413;204;514;3027;32;17;52847.5;1.0;2;8
3431;2008;2;27910;11;259;1669;264;2413;204;514;3027;32;17;33339.49;4.0;2;5
3470;2008;2;27936;15;9161;4992;2266;9922;2486;3078;5194;676;343;165300.86;1.0;2;8
3471;2008;2;27936;10;4168;4992;2266;9922;2486;3078;5194;676;343;92021.95;4.0;2;7
3472;2008;2;27936;33;3785;4992;2266;9922;2486;3078;5194;676;343;28971.78;4.0;2;6
3473;2008;2;27936;43;5507;4992;2266;9922;2486;3078;5194;676;343;113715.0;4.0;2;7
3566;2008;2;27952;31;1;2861;328;3531;496;1131;2817;58;47;0.0;4.0;4;3
3567;2008;2;27952;20;5167;2861;328;3531;496;1131;2817;58;47;59040.0;1.0;2;8
3611;2008;2;27995;23;10;4785;472;4247;534;1082;5560;87;54;0.0;4.0;2;8
3612;2008;2;27995;15;5135;4785;472;4247;534;1082;5560;87;54;55791.88;4.0;2;6
3613;2008;2;27995;11;5736;4785;472;4247;534;1082;5560;87;54;79420.0;1.0;2;7
3614;2008;2;27995;45;1173;4785;472;4247;534;1082;5560;87;54;14334.33;4.0;2;6
3670;2008;2;28010;15;4685;3862;377;5312;589;1553;4560;42;26;237654.35;1.0;4;8
3671;2008;2;28010;12;1456;3862;377;5312;589;1553;4560;42;26;38215.6;4.0;2;6
3740;2008;2;28037;23;771;2366;444;4849;332;852;2390;46;33;5060.73;4.0;2;3
3741;2008;2;28037;10;2143;2366;444;4849;332;852;2390;46;33;3584.76;4.0;2;8
3742;2008;2;28037;15;92;2366;444;4849;332;852;2390;46;33;1010.0;4.0;4;6
3743;2008;2;28037;45;5733;2366;444;4849;332;852;2390;46;33;66177.7;1.0;4;6
3811;2008;2;28053;14;1165;664;94;1027;88;254;1168;12;10;61354.0;4.0;4;6
3812;2008;2;28053;45;1815;664;94;1027;88;254;1168;12;10;60046.78;1.0;4;6
3835;2008;2;28070;22;3154;1797;201;1251;162;323;1653;8;9;15042.5;1.0;2;7
3836;2008;2;28070;20;970;1797;201;1251;162;323;1653;8;9;0.0;4.0;2;6
3873;2008;2;28096;17;4434;4268;715;6110;710;1586;4410;121;98;22677.5;4.0;2;4
3874;2008;2;28096;15;9121;4268;715;6110;710;1586;4410;121;98;158666.58;1.0;2;8
3907;2008;2;28118;15;2980;2389;147;1916;243;562;2098;42;35;25300.0;4.0;2;3
3908;2008;2;28118;33;3476;2389;147;1916;243;562;2098;42;35;59066.38;1.0;2;7
3954;2008;2;28134;28;1399;2934;491;3481;687;1155;4881;56;45;8150.0;4.0;2;8
3955;2008;2;28134;22;5852;2934;491;3481;687;1155;4881;56;45;111271.4;1.0;2;8
3956;2008;2;28134;70;3440;2934;491;3481;687;1155;4881;56;45;85504.05;4.0;2;6
4023;2008;2;28150;45;2390;1093;146;1560;109;237;1880;9;6;68268.0;1.0;2;4
4024;2008;2;28150;15;1947;1093;146;1560;109;237;1880;9;6;54300.0;4.0;2;8
4049;2008;2;28177;12;1646;836;67;1486;80;227;1374;16;7;30370.7;1.0;2;3
4050;2008;2;28177;20;1540;836;67;1486;80;227;1374;16;7;30287.2;4.0;4;8
4072;2008;2;28193;13;441;1612;169;1925;172;468;4051;35;25;2002.0;4.0;2;8
4073;2008;2;28193;20;1829;1612;169;1925;172;468;4051;35;25;57389.75;4.0;2;6
4074;2008;2;28193;33;1322;1612;169;1925;172;468;4051;35;25;20000.0;10.0;2;6
4075;2008;2;28193;33;1322;1612;169;1925;172;468;4051;35;25;0.0;4.0;4;5
4076;2008;2;28193;11;2695;1612;169;1925;172;468;4051;35;25;74517.84;1.0;2;3
4120;2008;2;28215;15;3451;1399;232;2528;221;489;3158;14;12;38026.76;1.0;2;6
4121;2008;2;28215;33;2770;1399;232;2528;221;489;3158;14;12;24314.85;4.0;2;6
4122;2008;2;28215;19;24;1399;232;2528;221;489;3158;14;12;23515.61;4.0;2;8
4178;2008;2;28231;45;1306;484;103;1200;147;378;1393;6;9;21540.0;4.0;2;4
4179;2008;2;28231;11;1859;484;103;1200;147;378;1393;6;9;36984.0;1.0;2;6
4204;2008;2;28258;50;5792;7045;2528;15996;3847;6793;12568;621;512;0.0;4.0;2;8
4205;2008;2;28258;45;15362;7045;2528;15996;3847;6793;12568;621;512;148622.47;1.0;2;8
4206;2008;2;28258;13;2321;7045;2528;15996;3847;6793;12568;621;512;18530.6;4.0;2;8
4207;2008;2;28258;14;13231;7045;2528;15996;3847;6793;12568;621;512;101278.01;4.0;2;5
4320;2008;2;27022;11;3387;1587;117;2444;148;516;2859;18;18;90325.6;1.0;2;6
4321;2008;2;27022;45;2433;1587;117;2444;148;516;2859;18;18;36838.0;4.0;2;2
4427;2008;2;28290;15;3735;2845;321;3357;295;715;2664;62;38;147681.2;4.0;4;8
4428;2008;2;28290;11;4464;2845;321;3357;295;715;2664;62;38;66294.14;1.0;4;6
4475;2008;2;28312;14;1776;937;141;1898;252;670;1729;64;44;50825.93;4.0;2;6
4476;2008;2;28312;40;2990;937;141;1898;252;670;1729;64;44;62101.8;1.0;2;8
4518;2008;2;28339;45;14819;4677;1240;13169;2598;6398;8414;875;522;523299.24;1.0;2;8
4519;2008;2;28339;12;14386;4677;1240;13169;2598;6398;8414;875;522;446301.85;4.0;2;8
4611;2008;2;28355;40;5000;2322;348;4541;507;1321;3103;113;86;83500.0;1.0;2;7
