ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;QTD_APTOS;QTD_COMPARECIMENTO
0;1253;592;3009;518;930;2488;76;51;8928;7652.0
1;1253;592;3009;518;930;2488;76;51;8928;7652.0
51;986;209;1183;166;252;1764;37;46;9286;8236.0
52;986;209;1183;166;252;1764;37;46;9286;8236.0
91;2056;704;4931;711;1449;4333;159;129;28946;24208.0
92;2056;704;4931;711;1449;4333;159;129;28946;24208.0
93;2056;704;4931;711;1449;4333;159;129;28946;24208.0
149;1149;343;2377;429;743;1588;62;63;13508;11838.0
150;1149;343;2377;429;743;1588;62;63;13508;11838.0
207;1264;342;2196;401;526;1511;63;62;12730;10744.0
208;1264;342;2196;401;526;1511;63;62;12730;10744.0
267;7447;2337;14614;2746;8187;9098;535;370;90672;68594.0
268;7447;2337;14614;2746;8187;9098;535;370;90672;68594.0
269;7447;2337;14614;2746;8187;9098;535;370;90672;68594.0
270;7447;2337;14614;2746;8187;9098;535;370;90672;68594.0
376;1145;519;3041;562;917;2622;107;107;18040;15220.0
377;1145;519;3041;562;917;2622;107;107;18040;15220.0
378;1145;519;3041;562;917;2622;107;107;18040;15220.0
379;1145;519;3041;562;917;2622;107;107;18040;15220.0
445;5460;420;4428;407;1351;3950;77;59;48348;36625.0
446;5460;420;4428;407;1351;3950;77;59;48348;36625.0
447;5460;420;4428;407;1351;3950;77;59;48348;36625.0
448;5460;420;4428;407;1351;3950;77;59;48348;36625.0
491;1510;52;1069;112;79;801;17;21;7322;6020.0
492;1510;52;1069;112;79;801;17;21;7322;6020.0
523;1213;170;1041;149;322;1768;39;19;9442;7894.0
524;1213;170;1041;149;322;1768;39;19;9442;7894.0
525;1213;170;1041;149;322;1768;39;19;9442;7894.0
526;1213;170;1041;149;322;1768;39;19;9442;7894.0
569;2659;178;2534;215;345;981;21;35;13936;11492.0
570;2659;178;2534;215;345;981;21;35;13936;11492.0
620;1551;408;3269;460;1316;2504;46;44;19196;16064.0
621;1551;408;3269;460;1316;2504;46;44;19196;16064.0
622;1551;408;3269;460;1316;2504;46;44;19196;16064.0
680;2305;552;3370;766;1401;3538;113;139;24368;19936.0
681;2305;552;3370;766;1401;3538;113;139;24368;19936.0
682;2305;552;3370;766;1401;3538;113;139;24368;19936.0
741;1567;608;3019;477;987;2916;74;70;19436;16990.0
742;1567;608;3019;477;987;2916;74;70;19436;16990.0
743;1567;608;3019;477;987;2916;74;70;19436;16990.0
744;1567;608;3019;477;987;2916;74;70;19436;16990.0
745;1567;608;3019;477;987;2916;74;70;19436;16990.0
746;1567;608;3019;477;987;2916;74;70;19436;16990.0
826;1365;180;1511;136;262;1013;14;15;8992;8240.0
827;1365;180;1511;136;262;1013;14;15;8992;8240.0
828;1365;180;1511;136;262;1013;14;15;8992;8240.0
879;15652;15355;63597;23152;41965;30456;6287;5142;403240;337226.0
880;15652;15355;63597;23152;41965;30456;6287;5142;403240;337226.0
